expresar_ideas,buen_oyente,trabajo_equipo,rol_equipo,importancia_colaboracion,reaccion_problemas,nuevas_soluciones,adaptacion,aprender_nuevas_herramientas,manejo_tiempo,efectividad_tiempo,cuestionar_informacion,evaluar_puntos_vista
Cómodo,"Sí, siempre",Poco cómodo,Seguidor,Poco importante,Me siento frustrado pero lo intento,Ocasionalmente,Fácil,Interesado,"Intento planificar, pero a veces me retraso",Poco efectivo,Algunas veces,Muy cómodo
Cómodo,Generalmente sí,Incomodo,No tengo una preferencia clara,Poco importante,Pido ayuda,Ocasionalmente,Muy fácil,Interesado,Suelo procrastinar y hacer todo al último momento,Ineficiente,Algunas veces,Cómodo
Incomodo,A veces,Poco cómodo,No tengo una preferencia clara,Poco importante,Me rindo fácilmente,Ocasionalmente,Difícil,Incomodo,Suelo procrastinar y hacer todo al último momento,Poco efectivo,Raramente,Muy cómodo
Incomodo,Generalmente sí,Muy cómodo,Líder,No es importante,Busco soluciones inmediatamente,Ocasionalmente,Fácil,Neutral,Trabajo sin mucha planificación,Ineficiente,Siempre,Poco cómodo
Muy cómodo,Generalmente sí,Incomodo,Facilitador,Muy importante,Busco soluciones inmediatamente,Raramente,Fácil,Entusiasmado,"Intento planificar, pero a veces me retraso",Poco efectivo,Frecuentemente,Muy cómodo
Cómodo,A veces,Poco cómodo,Seguidor,Poco importante,Me siento frustrado pero lo intento,Raramente,Muy fácil,Interesado,Trabajo sin mucha planificación,Ineficiente,Frecuentemente,Poco cómodo
Poco cómodo,"Sí, siempre",Muy cómodo,Seguidor,No es importante,Me siento frustrado pero lo intento,Frecuentemente,Muy difícil,Entusiasmado,Planifico con antelación y sigo mi plan,Muy efectivo,Algunas veces,Poco cómodo
Poco cómodo,"No, me cuesta prestar atención",Poco cómodo,Líder,Muy importante,Pido ayuda,Muy frecuentemente,Fácil,Entusiasmado,Trabajo sin mucha planificación,Ineficiente,Raramente,Cómodo
Incomodo,Generalmente sí,Muy cómodo,Facilitador,Importante,Me rindo fácilmente,Muy frecuentemente,Muy difícil,Interesado,Trabajo sin mucha planificación,Efectivo,Siempre,Cómodo
Incomodo,A veces,Poco cómodo,Seguidor,No es importante,Busco soluciones inmediatamente,Muy frecuentemente,Fácil,Interesado,Trabajo sin mucha planificación,Poco efectivo,Frecuentemente,Cómodo
Incomodo,"No, me cuesta prestar atención",Muy cómodo,Facilitador,Muy importante,Pido ayuda,Muy frecuentemente,Fácil,Entusiasmado,Planifico con antelación y sigo mi plan,Ineficiente,Raramente,Poco cómodo
Muy cómodo,"No, me cuesta prestar atención",Poco cómodo,Facilitador,Importante,Pido ayuda,Ocasionalmente,Muy difícil,Entusiasmado,Planifico con antelación y sigo mi plan,Poco efectivo,Frecuentemente,Poco cómodo
Incomodo,"No, me cuesta prestar atención",Poco cómodo,Facilitador,Poco importante,Me rindo fácilmente,Ocasionalmente,Difícil,Incomodo,Suelo procrastinar y hacer todo al último momento,Ineficiente,Frecuentemente,Incomodo
Muy cómodo,"Sí, siempre",Incomodo,Facilitador,Muy importante,Pido ayuda,Ocasionalmente,Muy difícil,Neutral,Trabajo sin mucha planificación,Ineficiente,Frecuentemente,Muy cómodo
Incomodo,A veces,Muy cómodo,Líder,Importante,Me rindo fácilmente,Raramente,Muy fácil,Entusiasmado,Trabajo sin mucha planificación,Poco efectivo,Algunas veces,Poco cómodo
Poco cómodo,"No, me cuesta prestar atención",Cómodo,Facilitador,Poco importante,Me siento frustrado pero lo intento,Raramente,Muy difícil,Neutral,Trabajo sin mucha planificación,Ineficiente,Siempre,Cómodo
Incomodo,"Sí, siempre",Cómodo,Seguidor,No es importante,Me rindo fácilmente,Frecuentemente,Difícil,Incomodo,Suelo procrastinar y hacer todo al último momento,Ineficiente,Algunas veces,Muy cómodo
Muy cómodo,"Sí, siempre",Poco cómodo,Líder,Muy importante,Me rindo fácilmente,Ocasionalmente,Muy difícil,Entusiasmado,Suelo procrastinar y hacer todo al último momento,Ineficiente,Algunas veces,Cómodo
Muy cómodo,"Sí, siempre",Poco cómodo,Seguidor,Poco importante,Me siento frustrado pero lo intento,Frecuentemente,Difícil,Interesado,Suelo procrastinar y hacer todo al último momento,Ineficiente,Siempre,Muy cómodo
Poco cómodo,"Sí, siempre",Cómodo,Líder,Poco importante,Pido ayuda,Ocasionalmente,Difícil,Entusiasmado,Trabajo sin mucha planificación,Efectivo,Frecuentemente,Cómodo
Muy cómodo,"Sí, siempre",Muy cómodo,Líder,Poco importante,Me siento frustrado pero lo intento,Muy frecuentemente,Muy fácil,Incomodo,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Frecuentemente,Cómodo
Muy cómodo,"Sí, siempre",Cómodo,Facilitador,Poco importante,Pido ayuda,Muy frecuentemente,Difícil,Incomodo,"Intento planificar, pero a veces me retraso",Ineficiente,Algunas veces,Muy cómodo
Poco cómodo,Generalmente sí,Poco cómodo,No tengo una preferencia clara,No es importante,Pido ayuda,Ocasionalmente,Difícil,Neutral,Planifico con antelación y sigo mi plan,Efectivo,Raramente,Poco cómodo
Poco cómodo,A veces,Cómodo,No tengo una preferencia clara,No es importante,Me siento frustrado pero lo intento,Ocasionalmente,Fácil,Entusiasmado,"Intento planificar, pero a veces me retraso",Ineficiente,Siempre,Poco cómodo
Poco cómodo,"Sí, siempre",Cómodo,Facilitador,Muy importante,Me siento frustrado pero lo intento,Frecuentemente,Muy difícil,Incomodo,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Algunas veces,Cómodo
Cómodo,"No, me cuesta prestar atención",Poco cómodo,Facilitador,Poco importante,Me siento frustrado pero lo intento,Raramente,Muy fácil,Interesado,Planifico con antelación y sigo mi plan,Muy efectivo,Siempre,Poco cómodo
Poco cómodo,A veces,Muy cómodo,Seguidor,Muy importante,Pido ayuda,Ocasionalmente,Fácil,Incomodo,"Intento planificar, pero a veces me retraso",Efectivo,Algunas veces,Poco cómodo
Incomodo,A veces,Muy cómodo,Seguidor,No es importante,Pido ayuda,Raramente,Fácil,Incomodo,Suelo procrastinar y hacer todo al último momento,Efectivo,Raramente,Poco cómodo
Incomodo,"No, me cuesta prestar atención",Incomodo,No tengo una preferencia clara,Poco importante,Pido ayuda,Frecuentemente,Difícil,Entusiasmado,Suelo procrastinar y hacer todo al último momento,Efectivo,Raramente,Poco cómodo
Incomodo,A veces,Cómodo,Facilitador,Muy importante,Me rindo fácilmente,Muy frecuentemente,Difícil,Entusiasmado,"Intento planificar, pero a veces me retraso",Ineficiente,Frecuentemente,Muy cómodo
Muy cómodo,"Sí, siempre",Poco cómodo,Seguidor,Poco importante,Busco soluciones inmediatamente,Ocasionalmente,Difícil,Entusiasmado,Suelo procrastinar y hacer todo al último momento,Poco efectivo,Siempre,Incomodo
Incomodo,Generalmente sí,Poco cómodo,No tengo una preferencia clara,Poco importante,Me rindo fácilmente,Muy frecuentemente,Muy fácil,Incomodo,Trabajo sin mucha planificación,Ineficiente,Siempre,Incomodo
Poco cómodo,"Sí, siempre",Poco cómodo,No tengo una preferencia clara,Importante,Busco soluciones inmediatamente,Raramente,Muy difícil,Neutral,Planifico con antelación y sigo mi plan,Muy efectivo,Frecuentemente,Incomodo
Muy cómodo,Generalmente sí,Poco cómodo,No tengo una preferencia clara,Poco importante,Me siento frustrado pero lo intento,Raramente,Muy difícil,Entusiasmado,Planifico con antelación y sigo mi plan,Efectivo,Siempre,Cómodo
Muy cómodo,A veces,Incomodo,Seguidor,Poco importante,Me rindo fácilmente,Raramente,Difícil,Entusiasmado,Trabajo sin mucha planificación,Poco efectivo,Siempre,Cómodo
Poco cómodo,Generalmente sí,Poco cómodo,Seguidor,Importante,Busco soluciones inmediatamente,Muy frecuentemente,Muy fácil,Interesado,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Siempre,Poco cómodo
Muy cómodo,"No, me cuesta prestar atención",Muy cómodo,Seguidor,Muy importante,Me siento frustrado pero lo intento,Ocasionalmente,Difícil,Incomodo,Planifico con antelación y sigo mi plan,Ineficiente,Raramente,Poco cómodo
Incomodo,"No, me cuesta prestar atención",Muy cómodo,Seguidor,Poco importante,Pido ayuda,Ocasionalmente,Difícil,Incomodo,Trabajo sin mucha planificación,Poco efectivo,Siempre,Poco cómodo
Cómodo,A veces,Incomodo,No tengo una preferencia clara,Importante,Busco soluciones inmediatamente,Raramente,Muy fácil,Incomodo,"Intento planificar, pero a veces me retraso",Ineficiente,Algunas veces,Poco cómodo
Poco cómodo,A veces,Cómodo,Facilitador,No es importante,Busco soluciones inmediatamente,Raramente,Muy difícil,Entusiasmado,Planifico con antelación y sigo mi plan,Efectivo,Siempre,Incomodo
Muy cómodo,"Sí, siempre",Incomodo,Seguidor,Poco importante,Me rindo fácilmente,Muy frecuentemente,Muy difícil,Interesado,Trabajo sin mucha planificación,Muy efectivo,Algunas veces,Cómodo
Incomodo,Generalmente sí,Muy cómodo,Líder,No es importante,Me rindo fácilmente,Ocasionalmente,Muy fácil,Incomodo,Trabajo sin mucha planificación,Ineficiente,Frecuentemente,Poco cómodo
Muy cómodo,"No, me cuesta prestar atención",Cómodo,Facilitador,Muy importante,Pido ayuda,Frecuentemente,Fácil,Entusiasmado,"Intento planificar, pero a veces me retraso",Poco efectivo,Raramente,Cómodo
Cómodo,Generalmente sí,Poco cómodo,No tengo una preferencia clara,Poco importante,Me rindo fácilmente,Frecuentemente,Muy difícil,Incomodo,Planifico con antelación y sigo mi plan,Poco efectivo,Siempre,Cómodo
Muy cómodo,A veces,Incomodo,Líder,Muy importante,Me rindo fácilmente,Frecuentemente,Fácil,Neutral,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Frecuentemente,Cómodo
Cómodo,Generalmente sí,Muy cómodo,Seguidor,Muy importante,Me rindo fácilmente,Muy frecuentemente,Muy fácil,Incomodo,"Intento planificar, pero a veces me retraso",Muy efectivo,Siempre,Muy cómodo
Poco cómodo,Generalmente sí,Cómodo,No tengo una preferencia clara,Poco importante,Busco soluciones inmediatamente,Raramente,Muy difícil,Neutral,Trabajo sin mucha planificación,Poco efectivo,Frecuentemente,Poco cómodo
Poco cómodo,"Sí, siempre",Muy cómodo,Líder,Muy importante,Busco soluciones inmediatamente,Frecuentemente,Difícil,Interesado,"Intento planificar, pero a veces me retraso",Efectivo,Frecuentemente,Cómodo
Poco cómodo,"No, me cuesta prestar atención",Incomodo,Seguidor,No es importante,Me rindo fácilmente,Ocasionalmente,Muy difícil,Interesado,Suelo procrastinar y hacer todo al último momento,Efectivo,Siempre,Cómodo
Cómodo,Generalmente sí,Poco cómodo,Líder,Poco importante,Me rindo fácilmente,Frecuentemente,Muy difícil,Neutral,"Intento planificar, pero a veces me retraso",Ineficiente,Siempre,Incomodo
Muy cómodo,Generalmente sí,Cómodo,Líder,Muy importante,Pido ayuda,Muy frecuentemente,Muy difícil,Incomodo,Suelo procrastinar y hacer todo al último momento,Poco efectivo,Raramente,Cómodo
Incomodo,Generalmente sí,Incomodo,No tengo una preferencia clara,Importante,Me rindo fácilmente,Raramente,Muy fácil,Incomodo,"Intento planificar, pero a veces me retraso",Muy efectivo,Raramente,Incomodo
Muy cómodo,"No, me cuesta prestar atención",Muy cómodo,Líder,Muy importante,Me siento frustrado pero lo intento,Ocasionalmente,Muy fácil,Entusiasmado,"Intento planificar, pero a veces me retraso",Efectivo,Frecuentemente,Incomodo
Poco cómodo,"No, me cuesta prestar atención",Poco cómodo,Facilitador,Poco importante,Pido ayuda,Ocasionalmente,Muy difícil,Interesado,Planifico con antelación y sigo mi plan,Ineficiente,Raramente,Muy cómodo
Incomodo,"Sí, siempre",Incomodo,No tengo una preferencia clara,Importante,Me rindo fácilmente,Raramente,Muy difícil,Incomodo,Planifico con antelación y sigo mi plan,Efectivo,Algunas veces,Cómodo
Poco cómodo,A veces,Muy cómodo,Líder,No es importante,Busco soluciones inmediatamente,Raramente,Muy difícil,Interesado,Trabajo sin mucha planificación,Efectivo,Siempre,Cómodo
Incomodo,"Sí, siempre",Muy cómodo,No tengo una preferencia clara,Poco importante,Busco soluciones inmediatamente,Raramente,Muy difícil,Neutral,Suelo procrastinar y hacer todo al último momento,Efectivo,Frecuentemente,Incomodo
Incomodo,"Sí, siempre",Muy cómodo,Seguidor,Importante,Busco soluciones inmediatamente,Ocasionalmente,Muy fácil,Incomodo,"Intento planificar, pero a veces me retraso",Ineficiente,Frecuentemente,Incomodo
Cómodo,"Sí, siempre",Poco cómodo,Líder,Poco importante,Pido ayuda,Ocasionalmente,Fácil,Entusiasmado,"Intento planificar, pero a veces me retraso",Muy efectivo,Frecuentemente,Cómodo
Muy cómodo,"Sí, siempre",Poco cómodo,Líder,No es importante,Pido ayuda,Muy frecuentemente,Muy difícil,Incomodo,Planifico con antelación y sigo mi plan,Muy efectivo,Algunas veces,Muy cómodo
Incomodo,"No, me cuesta prestar atención",Incomodo,Facilitador,No es importante,Me rindo fácilmente,Muy frecuentemente,Fácil,Interesado,Trabajo sin mucha planificación,Efectivo,Siempre,Muy cómodo
Muy cómodo,"Sí, siempre",Cómodo,No tengo una preferencia clara,Importante,Me rindo fácilmente,Muy frecuentemente,Muy difícil,Incomodo,Trabajo sin mucha planificación,Muy efectivo,Frecuentemente,Poco cómodo
Muy cómodo,"No, me cuesta prestar atención",Incomodo,No tengo una preferencia clara,Muy importante,Pido ayuda,Muy frecuentemente,Muy fácil,Incomodo,Trabajo sin mucha planificación,Ineficiente,Raramente,Incomodo
Muy cómodo,Generalmente sí,Incomodo,No tengo una preferencia clara,Importante,Pido ayuda,Frecuentemente,Muy difícil,Interesado,"Intento planificar, pero a veces me retraso",Poco efectivo,Algunas veces,Incomodo
Poco cómodo,"Sí, siempre",Muy cómodo,Facilitador,Importante,Busco soluciones inmediatamente,Raramente,Muy difícil,Interesado,"Intento planificar, pero a veces me retraso",Efectivo,Frecuentemente,Poco cómodo
Poco cómodo,A veces,Poco cómodo,Líder,No es importante,Me siento frustrado pero lo intento,Ocasionalmente,Muy difícil,Neutral,"Intento planificar, pero a veces me retraso",Muy efectivo,Frecuentemente,Incomodo
Poco cómodo,Generalmente sí,Muy cómodo,No tengo una preferencia clara,No es importante,Busco soluciones inmediatamente,Muy frecuentemente,Muy fácil,Interesado,Trabajo sin mucha planificación,Efectivo,Siempre,Poco cómodo
Cómodo,Generalmente sí,Incomodo,Líder,Poco importante,Busco soluciones inmediatamente,Frecuentemente,Muy fácil,Neutral,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Algunas veces,Incomodo
Poco cómodo,"Sí, siempre",Cómodo,No tengo una preferencia clara,No es importante,Pido ayuda,Muy frecuentemente,Difícil,Interesado,Suelo procrastinar y hacer todo al último momento,Poco efectivo,Algunas veces,Incomodo
Cómodo,"Sí, siempre",Muy cómodo,No tengo una preferencia clara,Poco importante,Busco soluciones inmediatamente,Ocasionalmente,Fácil,Entusiasmado,Planifico con antelación y sigo mi plan,Poco efectivo,Siempre,Poco cómodo
Incomodo,A veces,Poco cómodo,Facilitador,Poco importante,Busco soluciones inmediatamente,Muy frecuentemente,Fácil,Interesado,Trabajo sin mucha planificación,Poco efectivo,Algunas veces,Muy cómodo
Incomodo,"Sí, siempre",Poco cómodo,No tengo una preferencia clara,Importante,Me siento frustrado pero lo intento,Frecuentemente,Muy fácil,Neutral,"Intento planificar, pero a veces me retraso",Muy efectivo,Frecuentemente,Cómodo
Muy cómodo,"No, me cuesta prestar atención",Cómodo,Facilitador,No es importante,Pido ayuda,Raramente,Fácil,Incomodo,Planifico con antelación y sigo mi plan,Muy efectivo,Algunas veces,Muy cómodo
Cómodo,"No, me cuesta prestar atención",Muy cómodo,Seguidor,Muy importante,Pido ayuda,Muy frecuentemente,Muy difícil,Incomodo,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Raramente,Cómodo
Poco cómodo,A veces,Poco cómodo,Líder,No es importante,Busco soluciones inmediatamente,Raramente,Difícil,Neutral,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Siempre,Muy cómodo
Muy cómodo,"Sí, siempre",Muy cómodo,Facilitador,Muy importante,Busco soluciones inmediatamente,Muy frecuentemente,Muy difícil,Entusiasmado,Suelo procrastinar y hacer todo al último momento,Efectivo,Frecuentemente,Muy cómodo
Muy cómodo,A veces,Incomodo,Seguidor,Importante,Busco soluciones inmediatamente,Muy frecuentemente,Difícil,Incomodo,Suelo procrastinar y hacer todo al último momento,Ineficiente,Frecuentemente,Poco cómodo
Incomodo,"Sí, siempre",Cómodo,Líder,Muy importante,Me rindo fácilmente,Raramente,Muy difícil,Neutral,Planifico con antelación y sigo mi plan,Efectivo,Raramente,Incomodo
Incomodo,"Sí, siempre",Incomodo,Líder,Muy importante,Busco soluciones inmediatamente,Frecuentemente,Difícil,Neutral,Trabajo sin mucha planificación,Poco efectivo,Siempre,Muy cómodo
Poco cómodo,Generalmente sí,Muy cómodo,No tengo una preferencia clara,No es importante,Me rindo fácilmente,Muy frecuentemente,Muy fácil,Neutral,"Intento planificar, pero a veces me retraso",Muy efectivo,Algunas veces,Cómodo
Muy cómodo,A veces,Cómodo,Seguidor,No es importante,Me siento frustrado pero lo intento,Raramente,Difícil,Entusiasmado,"Intento planificar, pero a veces me retraso",Poco efectivo,Algunas veces,Muy cómodo
Muy cómodo,"Sí, siempre",Muy cómodo,Seguidor,Muy importante,Me rindo fácilmente,Muy frecuentemente,Muy fácil,Neutral,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Siempre,Cómodo
Muy cómodo,"No, me cuesta prestar atención",Muy cómodo,Líder,Poco importante,Me siento frustrado pero lo intento,Muy frecuentemente,Muy difícil,Neutral,"Intento planificar, pero a veces me retraso",Efectivo,Frecuentemente,Muy cómodo
Poco cómodo,"Sí, siempre",Incomodo,Seguidor,Poco importante,Me rindo fácilmente,Raramente,Muy difícil,Interesado,"Intento planificar, pero a veces me retraso",Poco efectivo,Algunas veces,Incomodo
Poco cómodo,"No, me cuesta prestar atención",Incomodo,Líder,No es importante,Me siento frustrado pero lo intento,Ocasionalmente,Muy difícil,Entusiasmado,Trabajo sin mucha planificación,Efectivo,Algunas veces,Incomodo
Poco cómodo,A veces,Poco cómodo,No tengo una preferencia clara,Poco importante,Me siento frustrado pero lo intento,Muy frecuentemente,Difícil,Interesado,Planifico con antelación y sigo mi plan,Efectivo,Raramente,Muy cómodo
Cómodo,"No, me cuesta prestar atención",Incomodo,Seguidor,Muy importante,Me rindo fácilmente,Ocasionalmente,Fácil,Entusiasmado,Trabajo sin mucha planificación,Poco efectivo,Siempre,Incomodo
Muy cómodo,Generalmente sí,Incomodo,No tengo una preferencia clara,Importante,Me siento frustrado pero lo intento,Raramente,Muy fácil,Interesado,Trabajo sin mucha planificación,Poco efectivo,Frecuentemente,Incomodo
Cómodo,Generalmente sí,Poco cómodo,No tengo una preferencia clara,Poco importante,Me siento frustrado pero lo intento,Ocasionalmente,Muy difícil,Incomodo,"Intento planificar, pero a veces me retraso",Poco efectivo,Frecuentemente,Poco cómodo
Incomodo,"Sí, siempre",Poco cómodo,Seguidor,Muy importante,Pido ayuda,Frecuentemente,Muy fácil,Neutral,Trabajo sin mucha planificación,Ineficiente,Raramente,Incomodo
Poco cómodo,"Sí, siempre",Cómodo,Líder,Importante,Me siento frustrado pero lo intento,Ocasionalmente,Muy fácil,Incomodo,"Intento planificar, pero a veces me retraso",Ineficiente,Frecuentemente,Incomodo
Poco cómodo,"No, me cuesta prestar atención",Incomodo,No tengo una preferencia clara,Muy importante,Busco soluciones inmediatamente,Raramente,Muy difícil,Incomodo,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Frecuentemente,Cómodo
Incomodo,"Sí, siempre",Incomodo,Líder,Poco importante,Me rindo fácilmente,Raramente,Difícil,Entusiasmado,Suelo procrastinar y hacer todo al último momento,Ineficiente,Algunas veces,Muy cómodo
Muy cómodo,"No, me cuesta prestar atención",Poco cómodo,No tengo una preferencia clara,Importante,Me rindo fácilmente,Raramente,Muy fácil,Neutral,Trabajo sin mucha planificación,Muy efectivo,Raramente,Incomodo
Poco cómodo,"No, me cuesta prestar atención",Muy cómodo,Líder,No es importante,Me rindo fácilmente,Frecuentemente,Muy difícil,Interesado,Trabajo sin mucha planificación,Efectivo,Raramente,Poco cómodo
Cómodo,"No, me cuesta prestar atención",Incomodo,Facilitador,Muy importante,Me rindo fácilmente,Raramente,Muy difícil,Entusiasmado,Suelo procrastinar y hacer todo al último momento,Ineficiente,Frecuentemente,Incomodo
Poco cómodo,A veces,Cómodo,Seguidor,Muy importante,Busco soluciones inmediatamente,Muy frecuentemente,Fácil,Interesado,Suelo procrastinar y hacer todo al último momento,Efectivo,Frecuentemente,Incomodo
Muy cómodo,"Sí, siempre",Incomodo,Líder,Poco importante,Busco soluciones inmediatamente,Raramente,Fácil,Entusiasmado,Trabajo sin mucha planificación,Poco efectivo,Frecuentemente,Muy cómodo
Cómodo,A veces,Muy cómodo,Facilitador,Poco importante,Me rindo fácilmente,Raramente,Muy fácil,Neutral,Suelo procrastinar y hacer todo al último momento,Efectivo,Siempre,Muy cómodo
Incomodo,"No, me cuesta prestar atención",Muy cómodo,Líder,Importante,Busco soluciones inmediatamente,Raramente,Fácil,Entusiasmado,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Frecuentemente,Cómodo
Cómodo,"Sí, siempre",Cómodo,Facilitador,Muy importante,Busco soluciones inmediatamente,Ocasionalmente,Muy fácil,Incomodo,Trabajo sin mucha planificación,Poco efectivo,Algunas veces,Poco cómodo
Poco cómodo,"No, me cuesta prestar atención",Poco cómodo,Facilitador,Muy importante,Me rindo fácilmente,Muy frecuentemente,Difícil,Interesado,"Intento planificar, pero a veces me retraso",Muy efectivo,Algunas veces,Incomodo
Muy cómodo,Generalmente sí,Incomodo,Facilitador,No es importante,Busco soluciones inmediatamente,Ocasionalmente,Muy difícil,Neutral,Suelo procrastinar y hacer todo al último momento,Efectivo,Siempre,Muy cómodo
Poco cómodo,"Sí, siempre",Cómodo,Líder,Poco importante,Me siento frustrado pero lo intento,Muy frecuentemente,Muy difícil,Incomodo,Planifico con antelación y sigo mi plan,Muy efectivo,Algunas veces,Cómodo
